genre,title,duration,url
"공포, 스릴러",[Playlist] Chilling Mystery Night 🌒 | Suspenseful Background Music for Reading Thrillers,1시간 57분 54초,https://www.youtube.com/watch?v=e0GpqZFiFtA
"공포, 스릴러","아포칼립스, 종말의 밤 Playlistㅣ나만 살아남았어 (Post Apocalypse, survival BGM)",44분 2초,https://www.youtube.com/watch?v=dZ7jdpKe2c4
"공포, 스릴러",(드라마OST) 비밀의숲 시즌1 시즌2 긴장감브금,50분 2초,https://www.youtube.com/watch?v=x8tkCftiYcA
"공포, 스릴러",[2시간] 미스터리 bgm / 방탈출 브금 / 긴장감 넘치는 음악 / Ggo Rack - Clue,2시간 17초,https://www.youtube.com/watch?v=ItIst1ZgzK4
판타지,[판타지 소설 쓸때 듣기 좋은 𝐏𝐋𝐀𝐘𝐋𝐈𝐒𝐓 - 1시간],1시간 14초,https://www.youtube.com/watch?v=-q3a1V5k4Ag
판타지,"판타지 소설 읽을 때, 글 쓸 때 듣는 음악 | 1시간 반복 playlist",51분 29초,https://www.youtube.com/watch?v=6zpP5GYsRRY
판타지,"[playlist] 푸른 빛 속으로 뛰어들 수 있었으면, 책읽을 때 듣기좋은 가사없는 음악",1시간 52초,https://www.youtube.com/watch?v=2l2xQpgkPzc
판타지,𝐏𝐥𝐚𝐲𝐥𝐢𝐬𝐭 | 책읽을 때 듣는 잔잔한 애니ost / JPOP 피아노 모음,1시간 34분 54초,https://www.youtube.com/watch?v=BpJCvXttnPk
판타지,𝐏𝐥𝐚𝐲𝐥𝐢𝐬𝐭 l 환상방황,1시간 3분 39초,https://www.youtube.com/watch?v=uJLhjXUaP0U
판타지,Whispers from the Forest l Whimsical fantasy playlist,1시간 55분 55초,https://www.youtube.com/watch?v=3VsPikIy590
판타지,Fantasy Playlist | 당신이 잊고 있던 판타지의 파편들이 깨어나는 곳 – Where Your Forgotten Fantasy Fragments Awaken,2시간 6분 14초,https://www.youtube.com/watch?v=0uas6lCkC_Q
판타지,[Playlist] 잔잔한 아름다운 풍경 판타지 음악 편안한 판타지 플레이리스트 중세시대 음악 Fantasy music Celtic Music Medieval RPG Music,4시간 13분,https://www.youtube.com/watch?v=zBHFDNyTJsg
판타지,𝐏𝐥𝐚𝐲𝐥𝐢𝐬𝐭 밤을 새야하는 파이널판타지 14 모험가를 위한 완급 조절 플리,1시간 11분 7초,https://www.youtube.com/watch?v=GC9IcuCh87M
판타지,내 취향 파이널판타지14 ost 모음,2시간 14분 14초,https://www.youtube.com/watch?v=SyurauoIDQs
판타지,내가 미래로 데리고 가 줄게 | 𝐏𝐥𝐚𝐲𝐥𝐢𝐬𝐭,1시간 2분 25초,https://www.youtube.com/watch?v=YcEUd8mKYH8
판타지,몽환적인 노래 모음집,44분 6초,https://www.youtube.com/watch?v=0WQ78mAN4Do
판타지,[판타지 Playlist] 세상에 존재하지 않는 언어로 만들어진 노래 | 실리온 EP 1~6 반복 재생,43분 23초,https://www.youtube.com/watch?v=vf2cEvjeQTQ
판타지,"playlist A World Where a Fairytale Princess Lives (orchestral BGM, Western fantasy background music)",37분 47초,https://www.youtube.com/watch?v=iFcx_l1Xask
역사,"[𝐏𝐥𝐚𝐲𝐥𝐢𝐬𝐭] 집중할 때 듣기 좋은 잔잔하고 감성적인 사극풍, 동양풍 bgm (가사無 / 17 Song)",1시간 50분 20초,https://www.youtube.com/watch?v=r5mJbcDGJq8
역사,"[playlist] 봄비를 기다렸던 고궁 박물관 직원, 가사 없는 음악",40분 17초,https://www.youtube.com/watch?v=3e-QfQrjcqA
역사,"ASMR 더 나은 미래를 위해, 성균관 유생들의 공부 I 공부할때 듣는 asmr • 조선시대, 사극, 동양풍 asmr",1시간 2분 39초,https://www.youtube.com/watch?v=YPKSQxXJPMU
역사,𝓛 𝓪 𝓼 𝓽 𝓒 𝓪 𝓻 𝓷 𝓲 𝓿 𝓪 𝓵,1시간 18초,https://www.youtube.com/watch?v=UHCoupSANo4
역사,"[playlist] 한 여름의 헌책방 직원, 아주 조용한 음악",42분 47초,https://www.youtube.com/watch?v=Ha7964DxrO0
역사,𝐏𝐥𝐚𝐲𝐥𝐢𝐬𝐭 나한테 전생이 있었던가 사극 과몰입 플리,51분 39초,https://www.youtube.com/watch?v=AUOeYg43yTs
역사,[#𝐎𝐑𝐅𝐄𝐎_𝐏𝐋𝐀𝐘] Koreans' favorite orchestral classical music Top.10 ㅣ Classical music Playlist,1시간 46분 1초,https://www.youtube.com/watch?v=HdzIP0twVag
